Rank,Driver,ID,Car,Lap Time,Sector 1,Sector 2,Sector 3
15,Colin Matyac (COLIN),S76561198125785867,Audi R8 LMS Evo II 2022,01:41.935000,00:31.347000,00:40.282000,00:30.305000
16,Evan Kim (KIM),S76561198142726479,Bentley Continental GT3 2018,01:41.975000,00:31.330000,00:40.392000,00:30.252000
17,Douglas Mitchell (DJM),S76561198316311325,BMW M4 GT3 2022,01:42.037000,00:31.332000,00:40.415000,00:30.290000
18,Chris Stefiuk (STE),S76561197982286601,Lexus RC F GT3,01:42.042000,00:31.397000,00:40.447000,00:30.197000
19,Joshua Arnold (JARNOLD),S76561198010959721,Audi R8 LMS Evo II 2022,01:42.077000,00:31.382000,00:40.470000,00:30.225000
20,Travis Robinson (TRO),S76561198308778510,Ferrari 488 GT3 Evo,01:42.130000,00:31.350000,00:40.522000,00:30.257000
21,David  Taflevich  (DAVE ),S76561199196705483,BMW M4 GT3 2022,01:42.160000,00:31.272000,00:40.522000,00:30.365000
22,Justin Moffatt (MUF),S76561199044769565,BMW M4 GT3 2022,01:42.230000,00:31.380000,00:40.500000,00:30.350000
23,Al Lotufo (ALT),S76561197965864959,Honda NSX Evo 2019,01:42.247000,00:31.232000,00:40.645000,00:30.370000
24,Dae Hee Yun (HYD),S76561198052032446,Aston Martin Vantage V8 2019,01:42.270000,00:31.342000,00:40.465000,00:30.462000
25,Peter Reynolds (REY),S76561198126854694,Aston Martin Vantage V8 2019,01:42.277000,00:31.427000,00:40.615000,00:30.235000
26,Tyler James (Tyler James),S76561198395542572,BMW M4 GT3 2022,01:42.282000,00:31.297000,00:40.777000,00:30.207000
27,Max  Sanchez (MAX),S76561198117343010,BMW M4 GT3 2022,01:42.295000,00:31.407000,00:40.565000,00:30.322000
28,Samuel Suniga (PLY),S76561198189440837,McLaren 720S GT3 Special,01:42.305000,00:31.595000,00:40.432000,00:30.277000
29,Samuel Suniga (PLY),S76561198189440837,BMW M4 GT3 2022,01:42.355000,00:31.577000,00:40.370000,00:30.407000
30,Chris Moses (MAD),S76561197981584107,Lamborghini Huracan Evo 2019,01:42.480000,00:31.455000,00:40.440000,00:30.585000
31,Matthew Schwartz (MLS),S76561198802807574,Lexus RC F GT3,01:42.610000,00:31.412000,00:40.670000,00:30.527000
32,Dominic Duran (DCD),S76561199075879890,McLaren 720S GT3 Special,01:42.627000,00:31.567000,00:40.615000,00:30.445000
